Freq.	V(n002)/V(n001)	V(n003)/V(n001)
1.00000000000000e+000	(-7.71585930849030e+001dB,8.99918174887764e+001°)	(-7.71585930867882e+001dB,8.99906237438966e+001°)
1.25892541179417e+000	(-7.51585931371454e+001dB,8.99896988287299e+001°)	(-7.51585931401333e+001dB,8.99881959929656e+001°)
1.58489319246111e+000	(-7.31585932199442e+001dB,8.99870315937998e+001°)	(-7.31585932246796e+001dB,8.99851396356666e+001°)
1.99526231496888e+000	(-7.11585933511713e+001dB,8.99836737440495e+001°)	(-7.11585933586765e+001dB,8.99812919098781e+001°)
2.51188643150958e+000	(-6.91585935591523e+001dB,8.99794464618345e+001°)	(-6.91585935710473e+001dB,8.99764479102705e+001°)
3.16227766016838e+000	(-6.71585938887800e+001dB,8.99741246291597e+001°)	(-6.71585939076322e+001dB,8.99703496763992e+001°)
3.98107170553497e+000	(-6.51585944112046e+001dB,8.99674248394236e+001°)	(-6.51585944410833e+001dB,8.99626724554691e+001°)
5.01187233627272e+000	(-6.31585952391916e+001dB,8.99589903051788e+001°)	(-6.31585952865462e+001dB,8.99530074082600e+001°)
6.30957344480194e+000	(-6.11585965514623e+001dB,8.99483718582909e+001°)	(-6.11585966265143e+001dB,8.99408398373396e+001°)
7.94328234724282e+000	(-5.91585986312704e+001dB,8.99350040308762e+001°)	(-5.91585987502198e+001dB,8.99255217783304e+001°)
1.00000000000000e+001	(-5.71586019275420e+001dB,8.99181749436315e+001°)	(-5.71586021160641e+001dB,8.99062374950043e+001°)
1.25892541179417e+001	(-5.51586071517754e+001dB,8.98969883987688e+001°)	(-5.51586074505626e+001dB,8.98819600414671e+001°)
1.58489319246111e+001	(-5.31586154316143e+001dB,8.98703161604085e+001°)	(-5.31586159051602e+001dB,8.98513965797577e+001°)
1.99526231496888e+001	(-5.11586285542423e+001dB,8.98367378842621e+001°)	(-5.11586293047619e+001dB,8.98129195439066e+001°)
2.51188643150958e+001	(-4.91586493521245e+001dB,8.97944655037747e+001°)	(-4.91586505416179e+001dB,8.97644799908447e+001°)
3.16227766016838e+001	(-4.71586823143419e+001dB,8.97412480582538e+001°)	(-4.71586841995618e+001dB,8.97034985360564e+001°)
3.98107170553498e+001	(-4.51587345554221e+001dB,8.96742519191536e+001°)	(-4.51587375432938e+001dB,8.96267280903982e+001°)
5.01187233627273e+001	(-4.31588173506637e+001dB,8.95899100848431e+001°)	(-4.31588220861202e+001dB,8.95300811371821e+001°)
6.30957344480194e+001	(-4.11589485690365e+001dB,8.94837326154405e+001°)	(-4.11589560742269e+001dB,8.94084124488811e+001°)
7.94328234724283e+001	(-3.91591565279994e+001dB,8.93500683065300e+001°)	(-3.91591684229185e+001dB,8.92552458667758e+001°)
1.00000000000000e+002	(-3.71594861002917e+001dB,8.91818052966326e+001°)	(-3.71595049524530e+001dB,8.90624309813623e+001°)
1.25892541179417e+002	(-3.51600083858093e+001dB,8.89699954355374e+001°)	(-3.51600382644335e+001dB,8.88197122037148e+001°)
1.58489319246112e+002	(-3.31608360235809e+001dB,8.87033839460552e+001°)	(-3.31608833779137e+001dB,8.85141888203169e+001°)
1.99526231496888e+002	(-3.11621474171757e+001dB,8.83678223918575e+001°)	(-3.11622224684961e+001dB,8.81296403466122e+001°)
2.51188643150958e+002	(-2.91642250229463e+001dB,8.79455397778189e+001°)	(-2.91643439706720e+001dB,8.76456873586860e+001°)
3.16227766016838e+002	(-2.71675157660949e+001dB,8.74142450590608e+001°)	(-2.71677042840257e+001dB,8.70367552445278e+001°)
3.98107170553498e+002	(-2.51727261263527e+001dB,8.67460372208643e+001°)	(-2.51730249033452e+001dB,8.62708097224080e+001°)
5.01187233627273e+002	(-2.31809711726954e+001dB,8.59061121490718e+001°)	(-2.31814446927904e+001dB,8.53078441990177e+001°)
