Freq.	V(n001)	V(n002)
1.00000000000000e+000	0.00000000000000E+000	-1.89E-09
1.25892541179417e+000	0.00000000000000e+000	-2.99E-09
1.58489319246111e+000	0.00000000000000e+000	-4.74E-09
1.99526231496888e+000	0.00000000000000e+000	-7.51E-09
2.51188643150958e+000	0.00000000000000e+000	-1.19E-08
3.16227766016838e+000	0.00000000000000e+000	-1.89E-08
3.98107170553497e+000	0.00000000000000e+000	-2.99E-08
5.01187233627272e+000	0.00000000000000e+000	-4.74E-08
6.30957344480194e+000	0.00000000000000e+000	-7.51E-08
7.94328234724282e+000	0.00000000000000e+000	-1.19E-07
1.00000000000000e+001	0.00000000000000e+000	-1.89E-07
1.25892541179417e+001	0.00000000000000e+000	-2.99E-07
1.58489319246111e+001	0.00000000000000e+000	-4.74E-07
1.99526231496888e+001	0.00000000000000e+000	-7.51E-07
2.51188643150958e+001	0.00000000000000e+000	-1.19E-06
3.16227766016838e+001	0.00000000000000e+000	-1.89E-06
3.98107170553498e+001	0.00000000000000e+000	-2.99E-06
5.01187233627273e+001	0.00000000000000e+000	-4.74E-06
6.30957344480194e+001	0.00000000000000e+000	-7.51E-06
7.94328234724283e+001	0.00000000000000e+000	-1.19E-05
1.00000000000000e+002	0.00000000000000e+000	-1.89E-05
1.25892541179417e+002	0.00000000000000e+000	-2.99E-05
1.58489319246112e+002	0.00000000000000e+000	-4.74E-05
1.99526231496888e+002	0.00000000000000e+000	-7.51E-05
2.51188643150958e+002	0.00000000000000e+000	-1.19E-04
3.16227766016838e+002	0.00000000000000e+000	-1.89E-04
3.98107170553498e+002	0.00000000000000e+000	-2.99E-04
5.01187233627273e+002	0.00000000000000e+000	-4.74E-04
6.30957344480194e+002	0.00000000000000e+000	-7.50E-04
7.94328234724283e+002	0.00000000000000e+000	-1.19E-03
1.00000000000000e+003	0.00000000000000e+000	-1.88E-03
1.25892541179417e+003	0.00000000000000e+000	-2.99E-03
1.58489319246112e+003	0.00000000000000e+000	-4.73E-03
1.99526231496888e+003	0.00000000000000e+000	-7.50E-03
2.51188643150959e+003	0.00000000000000e+000	-1.19E-02
3.16227766016839e+003	0.00000000000000e+000	-1.88E-02
3.98107170553498e+003	0.00000000000000e+000	-2.98E-02
5.01187233627273e+003	0.00000000000000e+000	-4.71E-02
6.30957344480195e+003	0.00000000000000e+000	-7.44E-02
7.94328234724283e+003	0.00000000000000e+000	-1.17E-01
1.00000000000000e+004	0.00000000000000e+000	-1.85E-01
1.25892541179417e+004	0.00000000000000e+000	-2.89E-01
1.58489319246112e+004	0.00000000000000e+000	-4.49E-01
1.99526231496889e+004	0.00000000000000e+000	-6.92E-01
2.51188643150959e+004	0.00000000000000e+000	-1.05E+00
3.16227766016839e+004	0.00000000000000e+000	-1.57E+00
3.98107170553498e+004	0.00000000000000e+000	-2.27E+00
5.01187233627274e+004	0.00000000000000e+000	-3.20E+00
6.30957344480195e+004	0.00000000000000e+000	-4.36E+00
7.94328234724284e+004	0.00000000000000e+000	-5.73E+00
1.00000000000000e+005	0.00000000000000e+000	-7.28E+00
1.25892541179417e+005	0.00000000000000e+000	-8.97E+00
1.58489319246112e+005	0.00000000000000e+000	-1.08E+01
1.99526231496889e+005	0.00000000000000e+000	-1.26E+01
2.51188643150959e+005	0.00000000000000e+000	-1.45E+01
3.16227766016839e+005	0.00000000000000e+000	-1.65E+01
3.98107170553499e+005	0.00000000000000e+000	-1.84E+01
5.01187233627274e+005	0.00000000000000e+000	-2.04E+01
6.30957344480196e+005	0.00000000000000e+000	-2.24E+01
7.94328234724285e+005	0.00000000000000e+000	-2.44E+01
1.00000000000000e+006	0.00000000000000e+000	-2.64E+01
