Freq.	V(n001)	V(n002)
1.00E+00	0.00E+00	-7.72E+01
1.26E+00	0.00E+00	-7.52E+01
1.58E+00	0.00E+00	-7.32E+01
2.00E+00	0.00E+00	-7.12E+01
2.51E+00	0.00E+00	-6.92E+01
3.16E+00	0.00E+00	-6.72E+01
3.98E+00	0.00E+00	-6.52E+01
5.01E+00	0.00E+00	-6.32E+01
6.31E+00	0.00E+00	-6.12E+01
7.94E+00	0.00E+00	-5.92E+01
1.00E+01	0.00E+00	-5.72E+01
1.26E+01	0.00E+00	-5.52E+01
1.58E+01	0.00E+00	-5.32E+01
2.00E+01	0.00E+00	-5.12E+01
2.51E+01	0.00E+00	-4.92E+01
3.16E+01	0.00E+00	-4.72E+01
3.98E+01	0.00E+00	-4.52E+01
5.01E+01	0.00E+00	-4.32E+01
6.31E+01	0.00E+00	-4.12E+01
7.94E+01	0.00E+00	-3.92E+01
1.00E+02	0.00E+00	-3.72E+01
1.26E+02	0.00E+00	-3.52E+01
1.58E+02	0.00E+00	-3.32E+01
2.00E+02	0.00E+00	-3.12E+01
2.51E+02	0.00E+00	-2.92E+01
3.16E+02	0.00E+00	-2.72E+01
3.98E+02	0.00E+00	-2.52E+01
5.01E+02	0.00E+00	-2.32E+01
6.31E+02	0.00E+00	-2.12E+01
7.94E+02	0.00E+00	-1.92E+01
1.00E+03	0.00E+00	-1.72E+01
1.26E+03	0.00E+00	-1.53E+01
1.58E+03	0.00E+00	-1.34E+01
2.00E+03	0.00E+00	-1.15E+01
2.51E+03	0.00E+00	-9.66E+00
3.16E+03	0.00E+00	-7.92E+00
3.98E+03	0.00E+00	-6.31E+00
5.01E+03	0.00E+00	-4.87E+00
6.31E+03	0.00E+00	-3.63E+00
7.94E+03	0.00E+00	-2.61E+00
1.00E+04	0.00E+00	-1.82E+00
1.26E+04	0.00E+00	-1.23E+00
1.58E+04	0.00E+00	-8.17E-01
2.00E+04	0.00E+00	-5.33E-01
2.51E+04	0.00E+00	-3.44E-01
3.16E+04	0.00E+00	-2.20E-01
3.98E+04	0.00E+00	-1.40E-01
5.01E+04	0.00E+00	-8.90E-02
6.31E+04	0.00E+00	-5.63E-02
7.94E+04	0.00E+00	-3.56E-02
1.00E+05	0.00E+00	-2.25E-02
1.26E+05	0.00E+00	-1.42E-02
1.58E+05	0.00E+00	-8.98E-03
2.00E+05	0.00E+00	-5.67E-03
2.51E+05	0.00E+00	-3.58E-03
3.16E+05	0.00E+00	-2.26E-03
3.98E+05	0.00E+00	-1.42E-03
5.01E+05	0.00E+00	-8.99E-04
6.31E+05	0.00E+00	-5.67E-04
7.94E+05	0.00E+00	-3.58E-04
1.00E+06	0.00E+00	-2.26E-04
