Freq.	V(n001)	V(n002)	V(n003)
1.00E+00	1.40E+01	-6.32E+01	-6.32E+01
1.26E+00	1.40E+01	-6.12E+01	-6.12E+01
1.58E+00	1.40E+01	-5.92E+01	-5.92E+01
2.00E+00	1.40E+01	-5.72E+01	-5.72E+01
2.51E+00	1.40E+01	-5.52E+01	-5.52E+01
3.16E+00	1.40E+01	-5.32E+01	-5.32E+01
3.98E+00	1.40E+01	-5.12E+01	-5.12E+01
5.01E+00	1.40E+01	-4.92E+01	-4.92E+01
6.31E+00	1.40E+01	-4.72E+01	-4.72E+01
7.94E+00	1.40E+01	-4.52E+01	-4.52E+01
1.00E+01	1.40E+01	-4.32E+01	-4.32E+01
1.26E+01	1.40E+01	-4.12E+01	-4.12E+01
1.58E+01	1.40E+01	-3.92E+01	-3.92E+01
2.00E+01	1.40E+01	-3.72E+01	-3.72E+01
2.51E+01	1.40E+01	-3.52E+01	-3.52E+01
3.16E+01	1.40E+01	-3.32E+01	-3.32E+01
3.98E+01	1.40E+01	-3.12E+01	-3.12E+01
5.01E+01	1.40E+01	-2.92E+01	-2.92E+01
6.31E+01	1.40E+01	-2.72E+01	-2.72E+01
7.94E+01	1.40E+01	-2.52E+01	-2.52E+01
1.00E+02	1.40E+01	-2.32E+01	-2.32E+01
1.26E+02	1.40E+01	-2.12E+01	-2.12E+01
1.58E+02	1.40E+01	-1.92E+01	-1.92E+01
2.00E+02	1.40E+01	-1.72E+01	-1.72E+01
2.51E+02	1.40E+01	-1.52E+01	-1.52E+01
3.16E+02	1.40E+01	-1.32E+01	-1.32E+01
3.98E+02	1.40E+01	-1.12E+01	-1.12E+01
5.01E+02	1.40E+01	-9.20E+00	-9.20E+00
6.31E+02	1.40E+01	-7.21E+00	-7.22E+00
7.94E+02	1.40E+01	-5.24E+00	-5.24E+00
1.00E+03	1.40E+01	-3.27E+00	-3.27E+00
1.26E+03	1.40E+01	-1.32E+00	-1.32E+00
1.58E+03	1.40E+01	6.02E-01	5.97E-01
2.00E+03	1.40E+01	2.48E+00	2.47E+00
2.51E+03	1.40E+01	4.29E+00	4.28E+00
3.16E+03	1.40E+01	6.01E+00	5.99E+00
3.98E+03	1.40E+01	7.60E+00	7.57E+00
5.01E+03	1.40E+01	9.01E+00	8.97E+00
6.31E+03	1.40E+01	1.02E+01	1.02E+01
7.94E+03	1.40E+01	1.12E+01	1.11E+01
1.00E+04	1.40E+01	1.20E+01	1.18E+01
1.26E+04	1.40E+01	1.25E+01	1.23E+01
1.58E+04	1.40E+01	1.29E+01	1.25E+01
2.00E+04	1.40E+01	1.32E+01	1.25E+01
2.51E+04	1.40E+01	1.34E+01	1.24E+01
3.16E+04	1.40E+01	1.36E+01	1.20E+01
3.98E+04	1.40E+01	1.37E+01	1.14E+01
5.01E+04	1.40E+01	1.38E+01	1.05E+01
6.31E+04	1.40E+01	1.38E+01	9.46E+00
7.94E+04	1.40E+01	1.39E+01	8.14E+00
1.00E+05	1.40E+01	1.39E+01	6.63E+00
1.26E+05	1.40E+01	1.39E+01	4.96E+00
1.58E+05	1.40E+01	1.39E+01	3.19E+00
2.00E+05	1.40E+01	1.40E+01	1.34E+00
2.51E+05	1.40E+01	1.40E+01	-5.66E-01
3.16E+05	1.40E+01	1.40E+01	-2.50E+00
3.98E+05	1.40E+01	1.40E+01	-4.46E+00
5.01E+05	1.40E+01	1.40E+01	-6.44E+00
6.31E+05	1.40E+01	1.40E+01	-8.42E+00
7.94E+05	1.40E+01	1.40E+01	-1.04E+01
1.00E+06	1.40E+01	1.40E+01	-1.24E+01
