v2	V(n002)	I(R2)
0.000000000000000e+000	0.000000e+000	-2.344037e-005
1.000000000000000e-002	1.000000e-002	1.441123e-005
2.000000000000000e-002	2.000000e-002	5.721402e-005
3.000000000000000e-002	3.000000e-002	1.046588e-004
4.000000000000000e-002	4.000000e-002	1.563176e-004
5.000000000000000e-002	5.000000e-002	2.117558e-004
6.000000000000001e-002	6.000000e-002	2.705501e-004
7.000000000000001e-002	7.000000e-002	3.323069e-004
8.000000000000000e-002	8.000000e-002	3.966713e-004
9.000000000000000e-002	9.000000e-002	4.633292e-004
9.999999999999999e-002	1.000000e-001	5.320060e-004
1.100000000000000e-001	1.100000e-001	6.024627e-004
1.200000000000000e-001	1.200000e-001	6.744927e-004
1.300000000000000e-001	1.300000e-001	7.479166e-004
1.400000000000000e-001	1.400000e-001	8.225791e-004
1.500000000000000e-001	1.500000e-001	8.983452e-004
1.600000000000000e-001	1.600000e-001	9.750973e-004
1.700000000000000e-001	1.700000e-001	1.052732e-003
1.800000000000000e-001	1.800000e-001	1.131160e-003
1.900000000000000e-001	1.900000e-001	1.210301e-003
2.000000000000000e-001	2.000000e-001	1.290084e-003
2.100000000000001e-001	2.100000e-001	1.370447e-003
2.200000000000001e-001	2.200000e-001	1.451333e-003
2.300000000000001e-001	2.300000e-001	1.532693e-003
2.400000000000001e-001	2.400000e-001	1.614481e-003
2.500000000000001e-001	2.500000e-001	1.696655e-003
2.600000000000001e-001	2.600000e-001	1.779180e-003
2.700000000000001e-001	2.700000e-001	1.862019e-003
2.800000000000001e-001	2.800000e-001	1.945143e-003
2.900000000000001e-001	2.900000e-001	2.028522e-003
3.000000000000001e-001	3.000000e-001	2.112128e-003
3.100000000000001e-001	3.100000e-001	2.195938e-003
3.200000000000001e-001	3.200000e-001	2.279928e-003
3.300000000000001e-001	3.300000e-001	2.364075e-003
3.400000000000001e-001	3.400000e-001	2.448358e-003
3.500000000000001e-001	3.500000e-001	2.532758e-003
3.600000000000002e-001	3.600000e-001	2.617256e-003
3.700000000000002e-001	3.700000e-001	2.701832e-003
3.800000000000002e-001	3.800000e-001	2.786469e-003
3.900000000000002e-001	3.900000e-001	2.871149e-003
4.000000000000002e-001	4.000000e-001	2.955856e-003
4.100000000000002e-001	4.100000e-001	3.040572e-003
4.200000000000002e-001	4.200000e-001	3.125280e-003
4.300000000000002e-001	4.300000e-001	3.209963e-003
4.400000000000002e-001	4.400000e-001	3.294604e-003
4.500000000000002e-001	4.500000e-001	3.379186e-003
4.600000000000002e-001	4.600000e-001	3.463692e-003
4.700000000000003e-001	4.700000e-001	3.548102e-003
4.800000000000003e-001	4.800000e-001	3.632398e-003
4.900000000000003e-001	4.900000e-001	3.716561e-003
5.000000000000002e-001	5.000000e-001	3.800569e-003
5.100000000000002e-001	5.100000e-001	3.884403e-003
5.200000000000002e-001	5.200000e-001	3.968038e-003
5.300000000000003e-001	5.300000e-001	4.051451e-003
5.400000000000003e-001	5.400000e-001	4.134616e-003
5.500000000000003e-001	5.500000e-001	4.217505e-003
5.600000000000003e-001	5.600000e-001	4.300088e-003
5.700000000000003e-001	5.700000e-001	4.382334e-003
5.800000000000003e-001	5.800000e-001	4.464205e-003
