v2	I(R2)
0.000000000000000e+000	-4.332810e-005
1.000000000000000e-002	2.517362e-005
2.000000000000000e-002	9.582834e-005
3.000000000000000e-002	1.683957e-004
4.000000000000000e-002	2.426541e-004
5.000000000000000e-002	3.184172e-004
6.000000000000001e-002	3.955241e-004
7.000000000000001e-002	4.738354e-004
8.000000000000000e-002	5.532303e-004
9.000000000000000e-002	6.336034e-004
9.999999999999999e-002	7.148625e-004
1.100000000000000e-001	7.969270e-004
1.200000000000000e-001	8.797258e-004
1.300000000000000e-001	9.631963e-004
1.400000000000000e-001	1.047283e-003
1.500000000000000e-001	1.131936e-003
1.600000000000000e-001	1.217112e-003
1.700000000000000e-001	1.302771e-003
1.800000000000000e-001	1.388878e-003
1.900000000000000e-001	1.475400e-003
2.000000000000000e-001	1.562310e-003
2.100000000000001e-001	1.649580e-003
2.200000000000001e-001	1.737187e-003
2.300000000000001e-001	1.825110e-003
2.400000000000001e-001	1.913329e-003
2.500000000000001e-001	2.001826e-003
2.600000000000001e-001	2.090584e-003
2.700000000000001e-001	2.179588e-003
2.800000000000001e-001	2.268824e-003
2.900000000000001e-001	2.358279e-003
3.000000000000001e-001	2.447942e-003
3.100000000000001e-001	2.537801e-003
3.200000000000001e-001	2.627845e-003
3.300000000000001e-001	2.718067e-003
3.400000000000001e-001	2.808455e-003
3.500000000000001e-001	2.899003e-003
3.600000000000002e-001	2.989702e-003
3.700000000000002e-001	3.080546e-003
3.800000000000002e-001	3.171527e-003
3.900000000000002e-001	3.262639e-003
4.000000000000002e-001	3.353877e-003
4.100000000000002e-001	3.445234e-003
4.200000000000002e-001	3.536705e-003
4.300000000000002e-001	3.628286e-003
4.400000000000002e-001	3.719971e-003
4.500000000000002e-001	3.811756e-003
4.600000000000002e-001	3.903638e-003
4.700000000000003e-001	3.995611e-003
4.800000000000003e-001	4.087672e-003
4.900000000000003e-001	4.179818e-003
5.000000000000002e-001	4.272046e-003
5.100000000000002e-001	4.364351e-003
5.200000000000002e-001	4.456731e-003
5.300000000000003e-001	4.549182e-003
5.400000000000003e-001	4.641704e-003
5.500000000000003e-001	4.734291e-003
5.600000000000003e-001	4.826942e-003
5.700000000000003e-001	4.919656e-003
5.800000000000003e-001	5.012427e-003
5.900000000000003e-001	5.105257e-003
6.000000000000003e-001	5.198140e-003
6.100000000000003e-001	5.291076e-003
6.200000000000003e-001	5.384063e-003
6.300000000000003e-001	5.477099e-003
6.400000000000004e-001	5.570182e-003
6.500000000000004e-001	5.663310e-003
6.600000000000004e-001	5.756481e-003
6.700000000000004e-001	5.849694e-003
6.800000000000004e-001	5.942948e-003
6.900000000000004e-001	6.036240e-003
7.000000000000004e-001	6.129570e-003
7.100000000000004e-001	6.222935e-003
7.200000000000004e-001	6.316335e-003
7.300000000000004e-001	6.409768e-003
7.400000000000004e-001	6.503233e-003
7.500000000000004e-001	6.596728e-003
7.600000000000005e-001	6.690253e-003
7.700000000000005e-001	6.783806e-003
7.800000000000005e-001	6.877386e-003
7.900000000000005e-001	6.970991e-003
8.000000000000005e-001	7.064622e-003
8.100000000000005e-001	7.158276e-003
8.200000000000005e-001	7.251953e-003
8.300000000000005e-001	7.345652e-003
8.400000000000005e-001	7.439371e-003
8.500000000000005e-001	7.533110e-003
8.600000000000005e-001	7.626867e-003
8.700000000000006e-001	7.720643e-003
8.800000000000006e-001	7.814435e-003
8.900000000000006e-001	7.908244e-003
9.000000000000006e-001	8.002067e-003
9.100000000000006e-001	8.095904e-003
9.200000000000006e-001	8.189755e-003
9.300000000000006e-001	8.283619e-003
9.400000000000006e-001	8.377494e-003
9.500000000000006e-001	8.471380e-003
9.600000000000006e-001	8.565277e-003
9.700000000000006e-001	8.659182e-003
9.800000000000007e-001	8.753096e-003
9.900000000000007e-001	8.847018e-003
1.000000000000001e+000	8.940946e-003
1.010000000000001e+000	9.034881e-003
1.020000000000001e+000	9.128822e-003
1.030000000000001e+000	9.222767e-003
1.040000000000001e+000	9.316716e-003
1.050000000000001e+000	9.410669e-003
1.060000000000001e+000	9.504624e-003
1.070000000000001e+000	9.598580e-003
1.080000000000001e+000	9.692538e-003
1.090000000000001e+000	9.786496e-003
1.100000000000001e+000	9.880453e-003
1.110000000000001e+000	9.974409e-003
1.120000000000001e+000	1.006836e-002
1.130000000000001e+000	1.016231e-002
1.140000000000001e+000	1.025626e-002
1.150000000000001e+000	1.035021e-002
1.160000000000001e+000	1.044415e-002
1.170000000000001e+000	1.053808e-002
1.180000000000001e+000	1.063201e-002
1.190000000000001e+000	1.072593e-002
1.200000000000001e+000	1.081984e-002
1.210000000000001e+000	1.091374e-002
1.220000000000001e+000	1.100763e-002
1.230000000000001e+000	1.110152e-002
1.240000000000001e+000	1.119539e-002
1.250000000000001e+000	1.128925e-002
1.260000000000001e+000	1.138310e-002
1.270000000000001e+000	1.147693e-002
1.280000000000001e+000	1.157075e-002
1.290000000000001e+000	1.166456e-002
1.300000000000001e+000	1.175835e-002
1.310000000000001e+000	1.185212e-002
1.320000000000001e+000	1.194587e-002
1.330000000000001e+000	1.203961e-002
1.340000000000001e+000	1.213332e-002
1.350000000000001e+000	1.222702e-002
1.360000000000001e+000	1.232069e-002
1.370000000000001e+000	1.241434e-002
1.380000000000001e+000	1.250796e-002
1.390000000000001e+000	1.260157e-002
1.400000000000001e+000	1.269514e-002
1.410000000000001e+000	1.278869e-002
1.420000000000001e+000	1.288221e-002
1.430000000000001e+000	1.297570e-002
1.440000000000001e+000	1.306916e-002
1.450000000000001e+000	1.316259e-002
1.460000000000001e+000	1.325599e-002
1.470000000000001e+000	1.334935e-002
1.480000000000001e+000	1.344268e-002
1.490000000000001e+000	1.353597e-002
1.500000000000001e+000	1.362922e-002
1.510000000000001e+000	1.372243e-002
1.520000000000001e+000	1.381560e-002
1.530000000000001e+000	1.390873e-002
1.540000000000001e+000	1.400181e-002
1.550000000000001e+000	1.409484e-002
1.560000000000001e+000	1.418783e-002
1.570000000000001e+000	1.428077e-002
1.580000000000001e+000	1.437366e-002
1.590000000000001e+000	1.446649e-002
1.600000000000001e+000	1.455926e-002
1.610000000000001e+000	1.465198e-002
1.620000000000001e+000	1.474464e-002
1.630000000000001e+000	1.483723e-002
1.640000000000001e+000	1.492976e-002
1.650000000000001e+000	1.502222e-002
1.660000000000001e+000	1.511461e-002
1.670000000000001e+000	1.520693e-002
1.680000000000001e+000	1.529917e-002
1.690000000000001e+000	1.539134e-002
1.700000000000001e+000	1.548342e-002
1.710000000000001e+000	1.557541e-002
1.720000000000001e+000	1.566732e-002
1.730000000000001e+000	1.575913e-002
1.740000000000001e+000	1.585084e-002
1.750000000000001e+000	1.594246e-002
1.760000000000001e+000	1.603396e-002
1.770000000000001e+000	1.612536e-002
1.780000000000001e+000	1.621664e-002
1.790000000000001e+000	1.630780e-002
1.800000000000001e+000	1.639884e-002
1.810000000000001e+000	1.648974e-002
1.820000000000001e+000	1.658051e-002
1.830000000000001e+000	1.667113e-002
1.840000000000001e+000	1.676160e-002
1.850000000000001e+000	1.685191e-002
1.860000000000001e+000	1.694205e-002
1.870000000000001e+000	1.703201e-002
1.880000000000001e+000	1.712179e-002
1.890000000000002e+000	1.721137e-002
1.900000000000002e+000	1.730075e-002
1.910000000000002e+000	1.738991e-002
1.920000000000002e+000	1.747883e-002
1.930000000000002e+000	1.756752e-002
1.940000000000002e+000	1.765594e-002
1.950000000000002e+000	1.774409e-002
1.960000000000002e+000	1.783195e-002
1.970000000000002e+000	1.791950e-002
1.980000000000002e+000	1.800671e-002
1.990000000000002e+000	1.809358e-002
2.000000000000001e+000	1.818006e-002
2.010000000000001e+000	1.826614e-002
2.020000000000001e+000	1.835178e-002
2.030000000000001e+000	1.843695e-002
2.040000000000001e+000	1.852162e-002
2.050000000000000e+000	1.860574e-002
2.060000000000000e+000	1.868927e-002
2.070000000000000e+000	1.877216e-002
2.080000000000000e+000	1.885435e-002
2.089999999999999e+000	1.893577e-002
2.099999999999999e+000	1.901636e-002
2.109999999999999e+000	1.909603e-002
2.119999999999999e+000	1.917468e-002
2.129999999999999e+000	1.925222e-002
2.139999999999998e+000	1.932853e-002
2.149999999999998e+000	1.940345e-002
2.159999999999998e+000	1.947684e-002
2.169999999999998e+000	1.954852e-002
2.179999999999998e+000	1.961827e-002
2.189999999999997e+000	1.968586e-002
2.199999999999997e+000	1.975103e-002
2.209999999999997e+000	1.981346e-002
2.219999999999997e+000	1.987283e-002
2.229999999999996e+000	1.992878e-002
2.239999999999996e+000	1.998093e-002
2.249999999999996e+000	2.002891e-002
2.259999999999996e+000	2.007239e-002
2.269999999999996e+000	2.011112e-002
2.279999999999995e+000	2.014499e-002
2.289999999999995e+000	2.017402e-002
2.299999999999995e+000	2.019845e-002
2.309999999999995e+000	2.021866e-002
2.319999999999995e+000	2.023519e-002
2.329999999999994e+000	2.024862e-002
2.339999999999994e+000	2.025954e-002
2.349999999999994e+000	2.026848e-002
2.359999999999994e+000	2.027590e-002
2.369999999999993e+000	2.028218e-002
2.379999999999993e+000	2.028762e-002
2.389999999999993e+000	2.029244e-002
2.399999999999993e+000	2.029681e-002
2.409999999999993e+000	2.030085e-002
2.419999999999992e+000	2.030466e-002
2.429999999999992e+000	2.030831e-002
2.439999999999992e+000	2.031183e-002
2.449999999999992e+000	2.031526e-002
2.459999999999992e+000	2.031864e-002
2.469999999999991e+000	2.032197e-002
2.479999999999991e+000	2.032526e-002
2.489999999999991e+000	2.032853e-002
2.499999999999991e+000	2.033179e-002
2.509999999999991e+000	2.033503e-002
2.519999999999990e+000	2.033827e-002
2.529999999999990e+000	2.034150e-002
2.539999999999990e+000	2.034472e-002
2.549999999999990e+000	2.034795e-002
2.559999999999989e+000	2.035116e-002
2.569999999999989e+000	2.035438e-002
2.579999999999989e+000	2.035760e-002
2.589999999999989e+000	2.036081e-002
2.599999999999989e+000	2.036403e-002
2.609999999999988e+000	2.036724e-002
2.619999999999988e+000	2.037046e-002
2.629999999999988e+000	2.037367e-002
2.639999999999988e+000	2.037688e-002
2.649999999999988e+000	2.038010e-002
2.659999999999987e+000	2.038331e-002
2.669999999999987e+000	2.038652e-002
2.679999999999987e+000	2.038974e-002
2.689999999999987e+000	2.039295e-002
2.699999999999986e+000	2.039616e-002
2.709999999999986e+000	2.039937e-002
2.719999999999986e+000	2.040259e-002
2.729999999999986e+000	2.040580e-002
2.739999999999986e+000	2.040901e-002
2.749999999999985e+000	2.041223e-002
2.759999999999985e+000	2.041544e-002
2.769999999999985e+000	2.041865e-002
2.779999999999985e+000	2.042186e-002
2.789999999999985e+000	2.042508e-002
2.799999999999984e+000	2.042829e-002
2.809999999999984e+000	2.043150e-002
2.819999999999984e+000	2.043472e-002
2.829999999999984e+000	2.043793e-002
2.839999999999983e+000	2.044114e-002
2.849999999999983e+000	2.044435e-002
2.859999999999983e+000	2.044757e-002
2.869999999999983e+000	2.045078e-002
2.879999999999983e+000	2.045399e-002
2.889999999999982e+000	2.045721e-002
2.899999999999982e+000	2.046042e-002
2.909999999999982e+000	2.046363e-002
2.919999999999982e+000	2.046685e-002
2.929999999999982e+000	2.047006e-002
2.939999999999981e+000	2.047327e-002
2.949999999999981e+000	2.047648e-002
2.959999999999981e+000	2.047970e-002
2.969999999999981e+000	2.048291e-002
2.979999999999980e+000	2.048612e-002
2.989999999999980e+000	2.048934e-002
2.999999999999980e+000	2.049255e-002
3.009999999999980e+000	2.049576e-002
3.019999999999980e+000	2.049897e-002
3.029999999999979e+000	2.050219e-002
3.039999999999979e+000	2.050540e-002
3.049999999999979e+000	2.050861e-002
3.059999999999979e+000	2.051182e-002
3.069999999999979e+000	2.051504e-002
3.079999999999978e+000	2.051825e-002
3.089999999999978e+000	2.052146e-002
3.099999999999978e+000	2.052468e-002
3.109999999999978e+000	2.052789e-002
3.119999999999978e+000	2.053110e-002
3.129999999999977e+000	2.053431e-002
3.139999999999977e+000	2.053753e-002
3.149999999999977e+000	2.054074e-002
3.159999999999977e+000	2.054395e-002
3.169999999999976e+000	2.054717e-002
3.179999999999976e+000	2.055038e-002
3.189999999999976e+000	2.055359e-002
3.199999999999976e+000	2.055680e-002
3.209999999999976e+000	2.056002e-002
3.219999999999975e+000	2.056323e-002
3.229999999999975e+000	2.056644e-002
3.239999999999975e+000	2.056966e-002
3.249999999999975e+000	2.057287e-002
3.259999999999975e+000	2.057608e-002
3.269999999999974e+000	2.057929e-002
3.279999999999974e+000	2.058251e-002
3.289999999999974e+000	2.058572e-002
3.299999999999974e+000	2.058893e-002
3.309999999999973e+000	2.059215e-002
3.319999999999973e+000	2.059536e-002
3.329999999999973e+000	2.059857e-002
3.339999999999973e+000	2.060178e-002
3.349999999999973e+000	2.060500e-002
3.359999999999972e+000	2.060821e-002
3.369999999999972e+000	2.061142e-002
3.379999999999972e+000	2.061464e-002
3.389999999999972e+000	2.061785e-002
3.399999999999972e+000	2.062106e-002
3.409999999999971e+000	2.062427e-002
3.419999999999971e+000	2.062749e-002
3.429999999999971e+000	2.063070e-002
3.439999999999971e+000	2.063391e-002
3.449999999999970e+000	2.063712e-002
3.459999999999970e+000	2.064034e-002
3.469999999999970e+000	2.064355e-002
3.479999999999970e+000	2.064676e-002
3.489999999999970e+000	2.064998e-002
3.499999999999969e+000	2.065319e-002
3.509999999999969e+000	2.065640e-002
3.519999999999969e+000	2.065961e-002
3.529999999999969e+000	2.066283e-002
3.539999999999969e+000	2.066604e-002
3.549999999999968e+000	2.066925e-002
3.559999999999968e+000	2.067246e-002
3.569999999999968e+000	2.067568e-002
3.579999999999968e+000	2.067889e-002
3.589999999999967e+000	2.068210e-002
3.599999999999967e+000	2.068532e-002
3.609999999999967e+000	2.068853e-002
3.619999999999967e+000	2.069174e-002
3.629999999999967e+000	2.069495e-002
3.639999999999966e+000	2.069817e-002
3.649999999999966e+000	2.070138e-002
3.659999999999966e+000	2.070459e-002
3.669999999999966e+000	2.070781e-002
3.679999999999966e+000	2.071102e-002
3.689999999999965e+000	2.071423e-002
3.699999999999965e+000	2.071744e-002
3.709999999999965e+000	2.072066e-002
3.719999999999965e+000	2.072387e-002
3.729999999999965e+000	2.072708e-002
3.739999999999964e+000	2.073030e-002
3.749999999999964e+000	2.073351e-002
3.759999999999964e+000	2.073672e-002
3.769999999999964e+000	2.073993e-002
3.779999999999963e+000	2.074315e-002
3.789999999999963e+000	2.074636e-002
3.799999999999963e+000	2.074957e-002
3.809999999999963e+000	2.075278e-002
3.819999999999963e+000	2.075600e-002
3.829999999999962e+000	2.075921e-002
3.839999999999962e+000	2.076242e-002
3.849999999999962e+000	2.076564e-002
3.859999999999962e+000	2.076885e-002
3.869999999999962e+000	2.077206e-002
3.879999999999961e+000	2.077527e-002
3.889999999999961e+000	2.077849e-002
3.899999999999961e+000	2.078170e-002
3.909999999999961e+000	2.078491e-002
3.919999999999960e+000	2.078813e-002
