v1	I(R2)
0.000000000000000e+000	9.721201e-003
1.000000000000000e-002	9.658395e-003
2.000000000000000e-002	9.595986e-003
3.000000000000000e-002	9.533676e-003
4.000000000000000e-002	9.471565e-003
5.000000000000000e-002	9.409652e-003
6.000000000000001e-002	9.347939e-003
7.000000000000001e-002	9.286424e-003
8.000000000000000e-002	9.225108e-003
9.000000000000000e-002	9.163991e-003
9.999999999999999e-002	9.103072e-003
1.100000000000000e-001	9.042352e-003
1.200000000000000e-001	8.981832e-003
1.300000000000000e-001	8.921511e-003
1.400000000000000e-001	8.861389e-003
1.500000000000000e-001	8.801467e-003
1.600000000000000e-001	8.741743e-003
1.700000000000000e-001	8.682218e-003
1.800000000000000e-001	8.622894e-003
1.900000000000000e-001	8.563768e-003
2.000000000000000e-001	8.504841e-003
2.100000000000001e-001	8.446115e-003
2.200000000000001e-001	8.387588e-003
2.300000000000001e-001	8.329260e-003
2.400000000000001e-001	8.271133e-003
2.500000000000001e-001	8.213204e-003
2.600000000000001e-001	8.155476e-003
2.700000000000001e-001	8.097948e-003
2.800000000000001e-001	8.040618e-003
2.900000000000001e-001	7.983490e-003
3.000000000000001e-001	7.926561e-003
3.100000000000001e-001	7.869831e-003
3.200000000000001e-001	7.813303e-003
3.300000000000001e-001	7.756974e-003
3.400000000000001e-001	7.700845e-003
3.500000000000001e-001	7.644916e-003
3.600000000000002e-001	7.589188e-003
3.700000000000002e-001	7.533660e-003
3.800000000000002e-001	7.478332e-003
3.900000000000002e-001	7.423205e-003
4.000000000000002e-001	7.368278e-003
4.100000000000002e-001	7.313551e-003
4.200000000000002e-001	7.259026e-003
4.300000000000002e-001	7.204700e-003
4.400000000000002e-001	7.150576e-003
4.500000000000002e-001	7.096651e-003
4.600000000000002e-001	7.042928e-003
4.700000000000003e-001	6.989405e-003
4.800000000000003e-001	6.936083e-003
4.900000000000003e-001	6.882962e-003
5.000000000000002e-001	6.830042e-003
5.100000000000002e-001	6.777323e-003
5.200000000000002e-001	6.724805e-003
5.300000000000003e-001	6.672488e-003
5.400000000000003e-001	6.620371e-003
5.500000000000003e-001	6.568457e-003
5.600000000000003e-001	6.516743e-003
5.700000000000003e-001	6.465230e-003
5.800000000000003e-001	6.413918e-003
5.900000000000003e-001	6.362808e-003
6.000000000000003e-001	6.311900e-003
6.100000000000003e-001	6.261193e-003
