Freq.	V(n001)	V(n002)
1.00000000000000e+002	(2.15831844130933e+001dB,1.93108417406514e-002°)	(1.12234097345019e+002dB,9.85618528804874e+001°)
1.04712854805090e+002	(2.15832223705549e+001dB,1.84776731079047e-002°)	(1.11842577080492e+002dB,9.81817631022970e+001°)
1.09647819614319e+002	(2.15832571174743e+001dB,1.76774797729180e-002°)	(1.11450325153519e+002dB,9.78180978222852e+001°)
1.14815362149688e+002	(2.15832889151683e+001dB,1.69093377315883e-002°)	(1.11057403552480e+002dB,9.74702030670029e+001°)
1.20226443461741e+002	(2.15833180053871e+001dB,1.61722970011359e-002°)	(1.10663869203293e+002dB,9.71374436908992e+001°)
1.25892541179417e+002	(2.15833446114910e+001dB,1.54653905751683e-002°)	(1.10269774351351e+002dB,9.68192038105082e+001°)
1.31825673855641e+002	(2.15833689396087e+001dB,1.47876421531077e-002°)	(1.09875166919972e+002dB,9.65148870705903e+001°)
1.38038426460289e+002	(2.15833911797646e+001dB,1.41380727704377e-002°)	(1.09480090845855e+002dB,9.62239167656373e+001°)
1.44543977074593e+002	(2.15834115069687e+001dB,1.35157064478182e-002°)	(1.09084586392223e+002dB,9.59457358376860e+001°)
1.51356124843621e+002	(2.15834300822612e+001dB,1.29195749682832e-002°)	(1.08688690440498e+002dB,9.56798067691002e+001°)
1.58489319246111e+002	(2.15834470537101e+001dB,1.23487218827926e-002°)	(1.08292436761417e+002dB,9.54256113868686e+001°)
1.65958690743756e+002	(2.15834625573575e+001dB,1.18022058355846e-002°)	(1.07895856266593e+002dB,9.51826505930369e+001°)
1.73780082874938e+002	(2.15834767181136e+001dB,1.12791032922492e-002°)	(1.07498977241558e+002dB,9.49504440341378e+001°)
1.81970085860999e+002	(2.15834896505997e+001dB,1.07785107453196e-002°)	(1.07101825561322e+002dB,9.47285297208918e+001°)
1.90546071796325e+002	(2.15835014599376e+001dB,1.02995464645490e-002°)	(1.06704424889518e+002dB,9.45164636080261e+001°)
1.99526231496888e+002	(2.15835122424893e+001dB,9.84135185192986e-003°)	(1.06306796862144e+002dB,9.43138191427740e+001°)
2.08929613085404e+002	(2.15835220865470e+001dB,9.40309245496092e-003°)	(1.05908961256926e+002dB,9.41201867894766e+001°)
2.18776162394956e+002	(2.15835310729759e+001dB,8.98395868566061e-003°)	(1.05510936149275e+002dB,9.39351735366905e+001°)
2.29086765276778e+002	(2.15835392758106e+001dB,8.58316628735711e-003°)	(1.05112738055760e+002dB,9.37584023923035e+001°)
